variable,unit,n,bias,mae,rmse,corr,bust_threshold,mae_pct_of_threshold
temperature_c,degC,21492,-0.05720035361995167,1.947576307463242,2.912557626421963,0.9386903224732126,4.4802,43.47074477619843
humidity_pct,%,21492,-2.4200567653080216,8.582953657174764,11.764096668121157,0.8132952645814744,23.5358,36.46765207545427
rainfall_mm,mm/day,21492,0.10477759166201382,3.572823376139959,8.607155149379738,0.6569454943953084,15.182,23.533285312475027
wind_speed_ms,m/s,21492,0.7488707426018982,0.898392425088405,1.1412382279388424,0.8317919990491177,2.3647,37.991813975912585
